sample,population,city/county,state/province,country,latitude,longitude
AMNH_244353_NY,East,Richmond ,NY,USA,40.5999,-74.1499
AMNH_244354_AL,Central,Tuscaloosa,AL,USA,33.065,-87.59741667
AMNH_244355_NY,East,Richmond ,NY,USA,40.32,-74.12
AMNH_244356_NY,East,Sullivan,NY,USA,41.53598333,-74.51133333
AMNH_244357_MA,East,Barnstable ,MA,USA,41.5265,-70.6731
AMNH_244358_MA,East,Nantucket,MA,USA,41.2835,-70.0995
AMNH_244360_MA,East,Nantucket,MA,USA,41.2835,-70.0995
AMNH_244366_VA,East,Clarke,VA,USA,39.10735,-78.01361667
AMNH_244369_NY,East,Ulster ,NY,USA,41.96045,-74.05746667
AMNH_244370_NY,East,Delaware,NY,USA,42.034313,-74.891317
AMNH_244371_NY,East,Delaware,NY,USA,42.034313,-74.891317
AMNH_244372_NY,East,Franklin,NY,USA,44.72888889,-74.12666667
AMNH_244375_MA,East,Tuckernuck,MA,USA,41.2998,-70.2557
AMNH_244377_NY,East,Franklin,NY,USA,44.73444444,-74.17472222
AMNH_244381_WV,East,Hardy,WV,USA,39.04301667,-78.9804
AMNH_244382_WV,East,Hardy,WV,USA,39.01868333,-79.00121667
AMNH_244383_WV,East,Grant,WV,USA,38.98811667,-79.22356667
AMNH_244385_WV,East,Grant,WV,USA,39.11456667,-79.21888333
AMNH_244386_WV,East,Elkins,WV,USA,38.92456667,-79.85761667
AMNH_244387_WV,East,Tucker ,WV,USA,39.03223333,-79.59075
AMNH_244389_WV,East,Randolph,WV,USA,38.92511667,-79.74163333
AMNH_244390_WV,East,Seneca Rocks,WV,USA,38.87778333,-79.3428
AMNH_244391_WV,East,Seneca Rocks,WV,USA,38.86266667,-79.36583333
AMNH_244392_WV,East,Parsons,WV,USA,39.04955,-79.72046667
AMNH_244393_WV,East,Parsons,WV,USA,39.04368333,-79.73355
AMNH_244394_WV,East,Ketterman,WV,USA,38.9096,-79.31001667
AMNH_244395_WV,East,Harman,WV,USA,38.91491667,-79.53176667
AMNH_244398_MA,East,Tuckernuck,MA,USA,41.2833,-70.0999
AMNH_244399_VA,East,Gloucester,VA,USA,37.4642,-76.5106
AMNH_244400_NJ,East,Morris,NJ,USA,40.7083,-74.4666
AMNH_244405_AL,Central,Perry,AL,USA,32.57435,-87.09151
AMNH_244407_NY,East,Ulster ,NY,USA,41.83014,-74.29115
